Site Identifier,Location,Elevation (m),Nest Height (m),Substrate Relation,Substrate,Entrance Orientation,Cavity Entrance Diameter,Primary Habitat,Secondary Habitat,Human-Modified Habitat
# NestWatch Raw Attempt Sites
# Please be aware that some sample sizes may be very small. This is typical of species that are less commonly reported, and particularly for open cup nesting birds. Any analyses conducted using sample sizes of less than 50 nest attempts for a single species during a single year should be interpreted very cautiously. Note: a nest attempt is any attempt where at least one egg or young were reported in the nest summary. Also note that these data are retrieved from nest summaries only and do not include any information from individual nest checks.
# Substrate Codes: {nesbox=nest box / birdhouse, buildi=building or dwelling, poptow=post / pole or platform, ssdtcv=cavity in snag / dead tree, ltrcav=cavity in live tree, ltrbra=live tree branch, ssdtre=dead tree branch, busshr=bush or shrub, cliled=cliff or rock, ground=ground, floveg=floating vegetation, other=other}
# Habitat Codes: {NW-human=human modified landscape, NW-ag=agricultural area, NW-for=woodland/forest, NW-grass=natural grassland and prairie, NW-chap=shrubland and chapparal, NW-des=desert, NW-fw=fresh water, NW-sw=salt water, NW-beach=beach, NW-tun=tundra, NW-oth=other (please describe in notes), NW-ry=yard, residential area, NW-park=public park/green space, NW-road=roadside, NW-golf=golf course, NW-pit=land fill/gravel pit/strip mine, NW-cem=cemetery, NW-com-ind=industrial/commercial center, NW-pwrln=powerline corridor, NW-campus=campus/schoolyard/church/hospital, NW-airprt=airport, NW-cmpgrd=campground, NW-xmas=Christmas tree farm, NW-orch-vin=orchard/vineyard, NW-clrcut=recently clear cut area, NW-burn=recently burned area}
L344787,US-NC,152.40000,1.42040,in,nesbox,ne,4.12800,NW-golf,NW-ry,
L344800,US-NC,152.40000,1.49350,in,nesbox,ne,4.14000,NW-golf,,
L344802,US-NC,152.40000,1.49350,in,nesbox,ne,4.12800,NW-golf,NW-ry,
L344805,US-NC,152.40000,1.44780,in,nesbox,nw,4.12800,NW-golf,NW-ry,
L344807,US-NC,152.40000,1.44780,in,nesbox,e,4.12800,NW-golf,NW-ry,
L344809,US-NC,152.40000,1.52400,in,nesbox,s,4.12800,NW-golf,NW-ry,
L56716,US-NC,152.40000,1.82880,in,nesbox,e,3.17500,NW-ry,,
L874467,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1036697,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1037095,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1037651,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1038127,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1038143,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
L1039032,US-NC,,,in,nesbox,,,NW-human,NW-human,NW-ry
