Start (s),End (s),Scientific name,Common name,Confidence,File
2343.0,2346.0,Empidonax virescens,Acadian Flycatcher,0.6728,E:\2022\BigOakWoods\K9\20220714_093000.WAV
2430.0,2433.0,Empidonax virescens,Acadian Flycatcher,0.5642,E:\2022\BigOakWoods\K9\20220714_093000.WAV
2445.0,2448.0,Empidonax virescens,Acadian Flycatcher,0.9116,E:\2022\BigOakWoods\K9\20220714_093000.WAV
2463.0,2466.0,Empidonax virescens,Acadian Flycatcher,0.8246,E:\2022\BigOakWoods\K9\20220714_093000.WAV
2487.0,2490.0,Empidonax virescens,Acadian Flycatcher,0.9388,E:\2022\BigOakWoods\K9\20220714_093000.WAV
2505.0,2508.0,Empidonax virescens,Acadian Flycatcher,0.8446,E:\2022\BigOakWoods\K9\20220714_093000.WAV
2523.0,2526.0,Empidonax virescens,Acadian Flycatcher,0.8934,E:\2022\BigOakWoods\K9\20220714_093000.WAV
2577.0,2580.0,Empidonax virescens,Acadian Flycatcher,0.7598,E:\2022\BigOakWoods\K9\20220714_093000.WAV
2607.0,2610.0,Vireo flavifrons,Yellow-throated Vireo,0.6202,E:\2022\BigOakWoods\K9\20220714_093000.WAV
2619.0,2622.0,Empidonax virescens,Acadian Flycatcher,0.5427,E:\2022\BigOakWoods\K9\20220714_093000.WAV
2835.0,2838.0,Limnothlypis swainsonii,Swainson's Warbler,0.5458,E:\2022\BigOakWoods\K9\20220714_093000.WAV
3240.0,3243.0,Empidonax virescens,Acadian Flycatcher,0.5797,E:\2022\BigOakWoods\K9\20220714_093000.WAV
3276.0,3279.0,Empidonax virescens,Acadian Flycatcher,0.7192,E:\2022\BigOakWoods\K9\20220714_093000.WAV
3291.0,3294.0,Empidonax virescens,Acadian Flycatcher,0.6136,E:\2022\BigOakWoods\K9\20220714_093000.WAV
3339.0,3342.0,Empidonax virescens,Acadian Flycatcher,0.6125,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4254.0,4257.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9465,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4257.0,4260.0,Coccyzus americanus,Yellow-billed Cuckoo,0.8116,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4281.0,4284.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9872,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4299.0,4302.0,Coccyzus americanus,Yellow-billed Cuckoo,0.8870,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4314.0,4317.0,Empidonax virescens,Acadian Flycatcher,0.8835,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4323.0,4326.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9714,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4326.0,4329.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9234,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4329.0,4332.0,Empidonax virescens,Acadian Flycatcher,0.9862,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4347.0,4350.0,Empidonax virescens,Acadian Flycatcher,0.9233,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4350.0,4353.0,Coccyzus americanus,Yellow-billed Cuckoo,0.7785,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4359.0,4362.0,Empidonax virescens,Acadian Flycatcher,0.9667,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4368.0,4371.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9057,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4371.0,4374.0,Coccyzus americanus,Yellow-billed Cuckoo,0.7761,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4377.0,4380.0,Empidonax virescens,Acadian Flycatcher,0.8878,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4377.0,4380.0,Parkesia motacilla,Louisiana Waterthrush,0.6490,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4392.0,4395.0,Empidonax virescens,Acadian Flycatcher,0.9806,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4404.0,4407.0,Empidonax virescens,Acadian Flycatcher,0.9759,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4407.0,4410.0,Coccyzus americanus,Yellow-billed Cuckoo,0.5891,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4422.0,4425.0,Empidonax virescens,Acadian Flycatcher,0.9812,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4440.0,4443.0,Empidonax virescens,Acadian Flycatcher,0.9688,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4482.0,4485.0,Empidonax virescens,Acadian Flycatcher,0.9759,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4506.0,4509.0,Empidonax virescens,Acadian Flycatcher,0.9222,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4509.0,4512.0,Empidonax virescens,Acadian Flycatcher,0.5664,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4512.0,4515.0,Coccyzus americanus,Yellow-billed Cuckoo,0.8812,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4530.0,4533.0,Coccyzus americanus,Yellow-billed Cuckoo,0.7699,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4533.0,4536.0,Coccyzus americanus,Yellow-billed Cuckoo,0.5961,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4536.0,4539.0,Empidonax virescens,Acadian Flycatcher,0.9847,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4554.0,4557.0,Empidonax virescens,Acadian Flycatcher,0.9862,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4572.0,4575.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9666,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4575.0,4578.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9545,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4578.0,4581.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9795,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4590.0,4593.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9985,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4593.0,4596.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9757,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4596.0,4599.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9421,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4608.0,4611.0,Coccyzus americanus,Yellow-billed Cuckoo,0.8985,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4608.0,4611.0,Empidonax virescens,Acadian Flycatcher,0.8092,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4611.0,4614.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9886,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4614.0,4617.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9887,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4626.0,4629.0,Empidonax virescens,Acadian Flycatcher,0.7621,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4641.0,4644.0,Coccyzus americanus,Yellow-billed Cuckoo,0.8957,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4644.0,4647.0,Coccyzus americanus,Yellow-billed Cuckoo,0.7156,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4644.0,4647.0,Empidonax virescens,Acadian Flycatcher,0.5954,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4647.0,4650.0,Coccyzus americanus,Yellow-billed Cuckoo,0.7331,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4659.0,4662.0,Coccyzus americanus,Yellow-billed Cuckoo,0.7638,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4659.0,4662.0,Empidonax virescens,Acadian Flycatcher,0.5028,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4662.0,4665.0,Coccyzus americanus,Yellow-billed Cuckoo,0.8961,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4674.0,4677.0,Coccyzus americanus,Yellow-billed Cuckoo,0.6179,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4677.0,4680.0,Coccyzus americanus,Yellow-billed Cuckoo,0.9705,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4680.0,4683.0,Coccyzus americanus,Yellow-billed Cuckoo,0.8421,E:\2022\BigOakWoods\K9\20220714_093000.WAV
4791.0,4794.0,Empidonax virescens,Acadian Flycatcher,0.5035,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5256.0,5259.0,Empidonax virescens,Acadian Flycatcher,0.6476,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5343.0,5346.0,Empidonax virescens,Acadian Flycatcher,0.5640,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5391.0,5394.0,Empidonax virescens,Acadian Flycatcher,0.7935,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5403.0,5406.0,Empidonax virescens,Acadian Flycatcher,0.5704,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5418.0,5421.0,Empidonax virescens,Acadian Flycatcher,0.6864,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5433.0,5436.0,Empidonax virescens,Acadian Flycatcher,0.9737,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5451.0,5454.0,Empidonax virescens,Acadian Flycatcher,0.9821,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5466.0,5469.0,Empidonax virescens,Acadian Flycatcher,0.9868,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5502.0,5505.0,Empidonax virescens,Acadian Flycatcher,0.9458,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5520.0,5523.0,Empidonax virescens,Acadian Flycatcher,0.7142,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5541.0,5544.0,Empidonax virescens,Acadian Flycatcher,0.8137,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5562.0,5565.0,Empidonax virescens,Acadian Flycatcher,0.7877,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5583.0,5586.0,Empidonax virescens,Acadian Flycatcher,0.8816,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5604.0,5607.0,Empidonax virescens,Acadian Flycatcher,0.8071,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5625.0,5628.0,Empidonax virescens,Acadian Flycatcher,0.6065,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5646.0,5649.0,Empidonax virescens,Acadian Flycatcher,0.7811,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5799.0,5802.0,Empidonax virescens,Acadian Flycatcher,0.5859,E:\2022\BigOakWoods\K9\20220714_093000.WAV
5883.0,5886.0,Dryobates pubescens,Downy Woodpecker,0.8343,E:\2022\BigOakWoods\K9\20220714_093000.WAV
6216.0,6219.0,Empidonax virescens,Acadian Flycatcher,0.6497,E:\2022\BigOakWoods\K9\20220714_093000.WAV
6234.0,6237.0,Empidonax virescens,Acadian Flycatcher,0.8829,E:\2022\BigOakWoods\K9\20220714_093000.WAV
6258.0,6261.0,Empidonax virescens,Acadian Flycatcher,0.5050,E:\2022\BigOakWoods\K9\20220714_093000.WAV
6273.0,6276.0,Empidonax virescens,Acadian Flycatcher,0.7078,E:\2022\BigOakWoods\K9\20220714_093000.WAV
