Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Empidonax virescens,Acadian Flycatcher,0.9932,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0020,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0000,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0007,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0006,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0000,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_75.wav
0,3.0,Empidonax virescens,Acadian Flycatcher,0.9973,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0015,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0000,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0000,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0009,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0007,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0005,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_AF_100.wav
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.2803,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0067,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0042,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0024,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0014,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0011,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0238,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0025,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0024,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\25m\13_25E_CW5_50.wav
