Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.7085,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0077,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0064,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0025,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0017,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0015,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0011,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0010,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0007,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0006,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
6.0,9.0,Empidonax virescens,Acadian Flycatcher,0.0010,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
6.0,9.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0008,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
6.0,9.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
6.0,9.0,Zenaida macroura,Mourning Dove,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
6.0,9.0,Contopus virens,Eastern Wood-Pewee,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
6.0,9.0,Thryothorus ludovicianus,Carolina Wren,0.0001,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
