Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.2081,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
0,3.0,Contopus virens,Eastern Wood-Pewee,0.0146,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
0,3.0,Empidonax virescens,Acadian Flycatcher,0.0130,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
0,3.0,Thryothorus ludovicianus,Carolina Wren,0.0105,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
0,3.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0007,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
0,3.0,Zenaida macroura,Mourning Dove,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
3.0,6.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0486,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
3.0,6.0,Empidonax virescens,Acadian Flycatcher,0.0048,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
3.0,6.0,Contopus virens,Eastern Wood-Pewee,0.0045,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
3.0,6.0,Zenaida macroura,Mourning Dove,0.0027,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
3.0,6.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0024,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
3.0,6.0,Thryothorus ludovicianus,Carolina Wren,0.0007,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
6.0,9.0,Empidonax virescens,Acadian Flycatcher,0.0007,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
6.0,9.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0007,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
6.0,9.0,Contopus virens,Eastern Wood-Pewee,0.0004,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
6.0,9.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
6.0,9.0,Zenaida macroura,Mourning Dove,0.0003,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
6.0,9.0,Thryothorus ludovicianus,Carolina Wren,0.0000,C:\git\cicadas2024\audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
